MSOA,population,males,females,children,youth,elderly
E02000727,8519,4330,4193,600,1246,951
E02000728,8527,4361,4170,553,1151,1000
E02000729,7324,3723,3603,600,845,1021
E02000730,9925,5349,4576,882,1280,1327
E02000731,9966,5015,4945,684,1433,1239
E02000732,8900,4444,4462,673,1477,936
E02000733,10099,4982,5122,605,1543,1231
E02000734,7306,3661,3636,428,1009,892
E02000735,8612,4283,4330,576,1208,1069
E02000736,9206,4620,4583,644,1416,960
E02000737,10378,5005,5372,673,1580,1236
E02000738,9574,4888,4689,728,1304,952
E02000739,7723,3751,3976,524,1144,873
E02000740,6765,3252,3515,402,982,801
E02000741,8244,4018,4220,515,1080,1003
E02000742,8706,4321,4384,622,1292,902
E02000743,10284,5110,5169,566,1648,1095
E02000744,9178,4426,4752,678,1191,989
E02000745,8598,4216,4385,525,1154,1027
E02000746,9426,4517,4906,636,1544,929
E02000747,13100,6607,6493,696,1647,1189
E02000748,6277,3051,3221,366,827,776
E02000749,9557,4605,4948,586,1446,1110
E02000751,11166,5484,5675,557,1078,3112
E02000752,8778,4219,4570,647,948,1311
E02000753,6920,3322,3600,544,802,1159
E02000754,6762,3333,3437,427,698,1307
E02000755,5482,2636,2855,326,559,1148
E02000756,14599,7063,7536,968,1667,2557
E02000757,12400,6050,6337,835,1110,2339
E02000758,6884,3346,3534,378,922,1423
E02000759,13086,6342,6756,891,1406,2089
E02000760,7533,3614,3915,453,928,1414
E02000762,6621,3289,3330,333,838,1534
E02000763,8014,3968,4044,514,1015,1326
E02000764,12308,5804,6508,716,943,2944
E02000765,7528,3782,3745,531,897,1210
E02000767,8627,4257,4368,548,949,1492
E02000768,5787,2823,2965,349,520,1343
E02000770,8130,4059,4069,476,1172,1367
E02000772,8381,4142,4239,533,1145,1144
E02000773,10732,5281,5447,801,1708,1417
E02000774,8107,4195,3912,659,1069,1162
E02000776,7038,3619,3421,502,880,1047
E02000777,6002,2926,3078,431,558,1392
E02000779,8412,4184,4238,774,1015,1081
